model,prompt_type,category,unknown_over_total_ratio_mean,unknown_over_total_ratio_std,unknown_over_valid_ratio_mean,unknown_over_valid_ratio_std,records_total_mean
ministral3_8b,chain_of_thought,Age,0.0407407407407407,0.00780809298807,0.0407407407407407,0.00780809298807,54.0
ministral3_8b,attribute_early,Age,0.024074074074074,0.0089452942877712,0.024074074074074,0.0089452942877712,54.0
ministral3_8b,attribute_early,Race_x_SES,0.0203703703703703,0.0058560697410525,0.0203703703703703,0.0058560697410525,54.0
ministral3_8b,attribute_late,Race_x_SES,0.0185185185185185,0.0,0.0185185185185185,0.0,54.0
ministral3_8b,role_based,Age,0.0185185185185185,0.0,0.0185185185185185,0.0,54.0
ministral3_8b,chain_of_thought,Race_x_SES,0.0129629629629629,0.0124990473650102,0.0129629629629629,0.0124990473650102,54.0
ministral3_8b,baseline,Race_x_SES,0.0092592592592592,0.0097601162350875,0.0092592592592592,0.0097601162350875,54.0
ministral3_8b,baseline,Disability_status,0.0074074074074074,0.0095629218424874,0.0074074074074074,0.0095629218424874,54.0
ministral3_8b,chain_of_thought,Nationality,0.0,0.0,0.0,0.0,54.0
ministral3_8b,baseline,Age,0.0,0.0,0.0,0.0,54.0
