example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
143,Disability_status,87,7,12.428571,62.345541,8.552896,113.777778,28,13,4
89,Disability_status,87,6,14.5,66.661127,7.437425,115.740741,27,14,3
6027,SES,108,7,15.428571,62.87625,9.388889,147.325202,29,22,5
685,Sexual_orientation,122,8,15.25,64.188942,10.594554,161.476355,23,19,15
957,Religion,104,5,20.8,60.445455,9.119481,161.595758,30,14,11
499,SES,91,6,15.166667,60.705,11.466667,225.182961,29,10,7
535,Sexual_orientation,126,7,18.0,72.871156,9.073585,202.637785,29,17,13
7745,Race_x_gender,93,5,18.6,58.306582,9.071248,118.75,35,10,6
1555,SES,112,5,22.4,71.853187,6.518681,120.510397,32,20,7
1751,SES,109,8,13.625,64.215375,8.55,149.480969,36,14,4
1083,Physical_appearance,126,8,15.75,60.595114,12.045455,146.092038,29,22,11
199,Religion,113,7,16.142857,77.47125,7.569048,142.416835,27,15,15
8835,Race_x_SES,135,7,19.285714,69.811465,6.792134,132.348415,41,18,11
2989,Gender_identity,104,5,20.8,39.809922,12.710078,116.263707,30,12,13
1285,Physical_appearance,90,6,15.0,54.96,10.685714,225.069252,29,12,2
1323,Race_ethnicity,103,7,14.714286,51.275172,9.56913,165.289256,33,10,14
1011,Nationality,121,7,17.285714,67.384059,7.751627,140.330642,34,19,12
13,Disability_status,122,7,17.428571,68.555566,9.453369,255.044109,38,14,6
1463,Race_ethnicity,112,7,16.0,57.955612,10.497959,108.152229,35,17,12
245,Sexual_orientation,97,8,12.125,66.623333,9.073016,175.490779,24,12,10
1483,Nationality,154,9,17.111111,62.731046,9.279739,167.297139,35,19,18
4563,Race_x_gender,83,3,27.666667,59.895054,8.649462,63.476562,29,8,7
1643,Nationality,164,9,18.222222,65.522183,11.027626,130.926403,45,21,11
6669,Race_x_gender,87,5,17.4,57.745,9.669841,187.652468,35,8,5
323,Sexual_orientation,89,7,12.714286,64.950714,9.142857,161.381122,24,11,12
1237,Disability_status,115,7,16.428571,73.049,8.114286,170.571513,31,21,9
695,Religion,135,8,16.875,62.769592,9.923913,133.769322,36,21,10
17,SES,80,5,16.0,73.29875,6.782143,104.142012,23,11,8
