example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
733,Sexual_orientation,155,8,19.375,64.614273,8.916364,101.758155,40,15,19
571,Nationality,148,7,21.142857,64.77823,8.814426,99.147333,42,17,13
697,Physical_appearance,167,8,20.875,71.533333,9.387234,124.975203,37,26,13
1867,Gender_identity,101,6,16.833333,56.184643,10.390476,124.567474,38,10,7
161,Sexual_orientation,115,8,14.375,74.664628,7.197709,164.514786,35,11,13
3471,Race_x_SES,145,7,20.714286,66.638476,9.675298,162.590701,43,17,16
645,Race_ethnicity,125,7,17.857143,60.071496,8.852991,137.868481,34,9,17
601,Disability_status,130,7,18.571429,71.91103,7.046279,107.134161,40,14,9
7177,Race_x_SES,154,5,30.8,65.05876,9.454264,106.508876,45,26,9
103,Age,144,7,20.571429,75.145278,8.302941,75.0,36,18,7
8727,Race_x_SES,171,8,21.375,70.347868,7.755486,129.480203,51,22,14
917,Race_ethnicity,136,9,15.111111,69.619621,9.467586,150.485792,39,13,12
3465,SES,145,8,18.125,70.044104,8.091756,117.76,41,18,12
571,Age,140,8,17.5,77.938333,6.281481,201.134216,34,16,12
5637,Gender_identity,120,5,24.0,62.1715,10.6,107.832565,39,15,8
4441,SES,146,7,20.857143,74.297778,8.115556,124.716553,42,16,10
585,Gender_identity,155,8,19.375,80.60636,7.7466,148.148148,50,22,8
6933,Race_x_SES,153,5,30.6,70.305271,8.834109,102.95858,45,24,10
389,Religion,123,6,20.5,65.765726,7.31453,126.984127,36,13,15
11005,Race_x_SES,173,6,28.833333,72.386099,8.313598,105.131173,58,19,12
3017,Age,165,10,16.5,65.640723,9.388988,159.420999,48,19,9
1629,Race_ethnicity,170,7,24.285714,67.530333,10.133333,112.275777,48,21,14
2187,Gender_identity,131,7,18.714286,75.015617,7.780224,147.107438,42,18,6
6417,SES,116,8,14.5,68.559473,9.671936,168.679717,37,12,6
543,Sexual_orientation,148,7,21.142857,73.455394,8.736918,157.44,38,15,14
13231,Race_x_gender,112,6,18.666667,57.605097,9.741063,94.808648,42,12,8
2103,Race_x_SES,149,7,21.285714,61.436844,9.355785,142.434829,55,16,6
2771,Age,157,7,22.428571,79.475528,7.092683,183.431953,43,18,13
93,Disability_status,120,7,17.142857,70.349222,7.244444,117.635526,37,15,6
697,Disability_status,152,9,16.888889,73.552375,7.62,119.526627,37,22,8
319,Disability_status,135,8,16.875,76.333812,6.534866,118.343195,37,14,14
5,Race_ethnicity,129,7,18.428571,65.97875,8.409091,186.67316,37,11,15
9075,Race_x_SES,137,6,22.833333,69.270769,7.935043,218.328067,47,13,7
1555,Disability_status,124,7,17.714286,66.079048,8.095238,174.439302,37,11,8
1127,Religion,135,8,16.875,60.390625,10.636325,145.073255,42,14,10
14835,Race_x_gender,112,7,16.0,73.679371,5.010323,129.017655,41,13,4
2087,Nationality,165,9,18.333333,64.342328,9.110345,145.430662,48,20,13
229,Nationality,158,9,17.555556,71.916667,9.555556,91.911765,41,19,14
